,justice,justiceName,majVotes,direction,minVotes,decisionDirection,majority,caseId,term,partyWinning,precedentAlteration,vote,issueArea
207,86,HHBurton,7,2,2,2,2,1946-024,1946,0,0,1,12
208,84,RHJackson,7,1,2,2,1,1946-024,1946,0,0,2,12
209,81,WODouglas,7,2,2,2,2,1946-024,1946,0,0,1,12
210,80,FFrankfurter,7,2,2,2,2,1946-024,1946,0,0,1,12
211,79,SFReed,7,1,2,2,1,1946-024,1946,0,0,2,12
212,78,HLBlack,7,2,2,2,2,1946-024,1946,0,0,1,12
213,85,WBRutledge,7,2,2,2,2,1946-024,1946,0,0,1,12
214,82,FMurphy,7,2,2,2,2,1946-024,1946,0,0,1,12
215,87,FMVinson,7,2,2,2,2,1946-024,1946,0,0,1,12
216,86,HHBurton,7,1,2,1,2,1946-025,1946,1,0,1,1
217,84,RHJackson,7,1,2,1,2,1946-025,1946,1,0,1,1
218,81,WODouglas,7,2,2,1,1,1946-025,1946,1,0,2,1
219,80,FFrankfurter,7,1,2,1,2,1946-025,1946,1,0,1,1
220,79,SFReed,7,1,2,1,2,1946-025,1946,1,0,1,1
221,78,HLBlack,7,1,2,1,2,1946-025,1946,1,0,1,1
222,85,WBRutledge,7,1,2,1,2,1946-025,1946,1,0,1,1
223,82,FMurphy,7,1,2,1,2,1946-025,1946,1,0,1,1
224,87,FMVinson,7,2,2,1,1,1946-025,1946,1,0,2,1
225,86,HHBurton,5,1,4,2,1,1946-026,1946,0,0,2,8
226,84,RHJackson,5,1,4,2,1,1946-026,1946,0,0,2,8
227,81,WODouglas,5,2,4,2,2,1946-026,1946,0,0,1,8
228,80,FFrankfurter,5,1,4,2,1,1946-026,1946,0,0,2,8
229,79,SFReed,5,1,4,2,1,1946-026,1946,0,0,2,8
230,78,HLBlack,5,2,4,2,2,1946-026,1946,0,0,1,8
231,85,WBRutledge,5,2,4,2,2,1946-026,1946,0,0,1,8
232,82,FMurphy,5,2,4,2,2,1946-026,1946,0,0,1,8
233,87,FMVinson,5,2,4,2,2,1946-026,1946,0,0,1,8
234,86,HHBurton,5,1,4,2,1,1946-027,1946,1,1,2,8
235,84,RHJackson,5,1,4,2,1,1946-027,1946,1,1,2,8
236,81,WODouglas,5,2,4,2,2,1946-027,1946,1,1,1,8
237,80,FFrankfurter,5,1,4,2,1,1946-027,1946,1,1,2,8
238,79,SFReed,5,1,4,2,1,1946-027,1946,1,1,2,8
239,78,HLBlack,5,2,4,2,2,1946-027,1946,1,1,1,8
240,85,WBRutledge,5,2,4,2,2,1946-027,1946,1,1,1,8
241,82,FMurphy,5,2,4,2,2,1946-027,1946,1,1,1,8
242,87,FMVinson,5,2,4,2,2,1946-027,1946,1,1,1,8
243,86,HHBurton,9,2,0,2,2,1946-028,1946,0,0,1,8
244,84,RHJackson,9,2,0,2,2,1946-028,1946,0,0,1,8
245,81,WODouglas,9,2,0,2,2,1946-028,1946,0,0,1,8
246,80,FFrankfurter,9,2,0,2,2,1946-028,1946,0,0,1,8
247,79,SFReed,9,2,0,2,2,1946-028,1946,0,0,1,8
248,78,HLBlack,9,2,0,2,2,1946-028,1946,0,0,1,8
249,85,WBRutledge,9,2,0,2,2,1946-028,1946,0,0,3,8
250,82,FMurphy,9,2,0,2,2,1946-028,1946,0,0,1,8
251,87,FMVinson,9,2,0,2,2,1946-028,1946,0,0,1,8
252,86,HHBurton,9,1,0,1,2,1946-029,1946,0,0,1,8
253,84,RHJackson,9,1,0,1,2,1946-029,1946,0,0,1,8
254,81,WODouglas,9,1,0,1,2,1946-029,1946,0,0,1,8
255,80,FFrankfurter,9,1,0,1,2,1946-029,1946,0,0,1,8
256,79,SFReed,9,1,0,1,2,1946-029,1946,0,0,1,8
257,78,HLBlack,9,1,0,1,2,1946-029,1946,0,0,1,8
258,85,WBRutledge,9,1,0,1,2,1946-029,1946,0,0,4,8
259,82,FMurphy,9,1,0,1,2,1946-029,1946,0,0,1,8
260,87,FMVinson,9,1,0,1,2,1946-029,1946,0,0,1,8
261,86,HHBurton,9,2,0,2,2,1946-030,1946,1,0,1,8
262,84,RHJackson,9,2,0,2,2,1946-030,1946,1,0,1,8
263,81,WODouglas,9,2,0,2,2,1946-030,1946,1,0,1,8
264,80,FFrankfurter,9,2,0,2,2,1946-030,1946,1,0,1,8
265,79,SFReed,9,2,0,2,2,1946-030,1946,1,0,1,8
266,78,HLBlack,9,2,0,2,2,1946-030,1946,1,0,1,8
267,85,WBRutledge,9,2,0,2,2,1946-030,1946,1,0,1,8
268,82,FMurphy,9,2,0,2,2,1946-030,1946,1,0,1,8
269,87,FMVinson,9,2,0,2,2,1946-030,1946,1,0,1,8
270,86,HHBurton,9,2,0,2,2,1946-031,1946,1,0,1,8
271,84,RHJackson,9,2,0,2,2,1946-031,1946,1,0,1,8
272,81,WODouglas,9,2,0,2,2,1946-031,1946,1,0,1,8
273,80,FFrankfurter,9,2,0,2,2,1946-031,1946,1,0,3,8
274,79,SFReed,9,2,0,2,2,1946-031,1946,1,0,1,8
275,78,HLBlack,9,2,0,2,2,1946-031,1946,1,0,1,8
276,85,WBRutledge,9,2,0,2,2,1946-031,1946,1,0,3,8
277,82,FMurphy,9,2,0,2,2,1946-031,1946,1,0,1,8
278,87,FMVinson,9,2,0,2,2,1946-031,1946,1,0,1,8
279,86,HHBurton,6,1,3,2,1,1946-032,1946,1,0,2,8
280,84,RHJackson,6,1,3,2,1,1946-032,1946,1,0,2,8
281,81,WODouglas,6,2,3,2,2,1946-032,1946,1,0,1,8
282,80,FFrankfurter,6,2,3,2,2,1946-032,1946,1,0,1,8
283,79,SFReed,6,1,3,2,1,1946-032,1946,1,0,2,8
284,78,HLBlack,6,2,3,2,2,1946-032,1946,1,0,1,8
285,85,WBRutledge,6,2,3,2,2,1946-032,1946,1,0,1,8
286,82,FMurphy,6,2,3,2,2,1946-032,1946,1,0,1,8
287,87,FMVinson,6,2,3,2,2,1946-032,1946,1,0,1,8
288,86,HHBurton,5,2,4,1,1,1946-033,1946,0,0,2,1
289,84,RHJackson,5,1,4,1,2,1946-033,1946,0,0,1,1
290,81,WODouglas,5,2,4,1,1,1946-033,1946,0,0,2,1
291,80,FFrankfurter,5,1,4,1,2,1946-033,1946,0,0,4,1
292,79,SFReed,5,1,4,1,2,1946-033,1946,0,0,5,1
293,78,HLBlack,5,1,4,1,2,1946-033,1946,0,0,1,1
294,85,WBRutledge,5,2,4,1,1,1946-033,1946,0,0,2,1
295,82,FMurphy,5,2,4,1,1,1946-033,1946,0,0,2,1
296,87,FMVinson,5,1,4,1,2,1946-033,1946,0,0,1,1
297,86,HHBurton,5,2,2,1,1,1946-034,1946,0,0,2,9
298,84,RHJackson,5,1,2,1,2,1946-034,1946,0,0,1,9
299,81,WODouglas,5,1,2,1,2,1946-034,1946,0,0,1,9
300,80,FFrankfurter,5,1,2,1,2,1946-034,1946,0,0,1,9
301,79,SFReed,5,0,2,1,0,1946-034,1946,0,0,0,9
302,78,HLBlack,5,1,2,1,2,1946-034,1946,0,0,1,9
303,85,WBRutledge,5,2,2,1,1,1946-034,1946,0,0,2,9
304,82,FMurphy,5,1,2,1,2,1946-034,1946,0,0,1,9
305,87,FMVinson,5,0,2,1,0,1946-034,1946,0,0,0,9
306,86,HHBurton,9,1,0,1,2,1946-035,1946,0,0,1,5
307,84,RHJackson,9,1,0,1,2,1946-035,1946,0,0,4,5
308,81,WODouglas,9,1,0,1,2,1946-035,1946,0,0,1,5
309,80,FFrankfurter,9,1,0,1,2,1946-035,1946,0,0,4,5
310,79,SFReed,9,1,0,1,2,1946-035,1946,0,0,1,5
311,78,HLBlack,9,1,0,1,2,1946-035,1946,0,0,1,5
312,85,WBRutledge,9,1,0,1,2,1946-035,1946,0,0,1,5
313,82,FMurphy,9,1,0,1,2,1946-035,1946,0,0,1,5
314,87,FMVinson,9,1,0,1,2,1946-035,1946,0,0,1,5
315,86,HHBurton,8,2,1,2,2,1946-036,1946,0,0,1,9
316,84,RHJackson,8,2,1,2,2,1946-036,1946,0,0,1,9
317,81,WODouglas,8,2,1,2,2,1946-036,1946,0,0,1,9
318,80,FFrankfurter,8,1,1,2,1,1946-036,1946,0,0,2,9
319,79,SFReed,8,2,1,2,2,1946-036,1946,0,0,1,9
320,78,HLBlack,8,2,1,2,2,1946-036,1946,0,0,1,9
321,85,WBRutledge,8,2,1,2,2,1946-036,1946,0,0,1,9
322,82,FMurphy,8,2,1,2,2,1946-036,1946,0,0,1,9
323,87,FMVinson,8,2,1,2,2,1946-036,1946,0,0,1,9
324,86,HHBurton,6,1,3,2,1,1946-037,1946,1,0,2,9
325,84,RHJackson,6,2,3,2,2,1946-037,1946,1,0,1,9
326,81,WODouglas,6,2,3,2,2,1946-037,1946,1,0,1,9
327,80,FFrankfurter,6,1,3,2,1,1946-037,1946,1,0,2,9
328,79,SFReed,6,2,3,2,2,1946-037,1946,1,0,1,9
329,78,HLBlack,6,2,3,2,2,1946-037,1946,1,0,1,9
330,85,WBRutledge,6,2,3,2,2,1946-037,1946,1,0,1,9
331,82,FMurphy,6,2,3,2,2,1946-037,1946,1,0,1,9
332,87,FMVinson,6,1,3,2,1,1946-037,1946,1,0,2,9
333,86,HHBurton,9,1,0,1,2,1946-038,1946,1,0,1,9
334,84,RHJackson,9,1,0,1,2,1946-038,1946,1,0,1,9
335,81,WODouglas,9,1,0,1,2,1946-038,1946,1,0,1,9
336,80,FFrankfurter,9,1,0,1,2,1946-038,1946,1,0,1,9
337,79,SFReed,9,1,0,1,2,1946-038,1946,1,0,1,9
338,78,HLBlack,9,1,0,1,2,1946-038,1946,1,0,1,9
339,85,WBRutledge,9,1,0,1,2,1946-038,1946,1,0,1,9
340,82,FMurphy,9,1,0,1,2,1946-038,1946,1,0,1,9
341,87,FMVinson,9,1,0,1,2,1946-038,1946,1,0,1,9
342,86,HHBurton,6,0,3,3,2,1946-039,1946,1,0,1,11
343,84,RHJackson,6,0,3,3,2,1946-039,1946,1,0,1,11
344,81,WODouglas,6,0,3,3,2,1946-039,1946,1,0,1,11
345,80,FFrankfurter,6,0,3,3,1,1946-039,1946,1,0,2,11
346,79,SFReed,6,0,3,3,2,1946-039,1946,1,0,1,11
347,78,HLBlack,6,0,3,3,1,1946-039,1946,1,0,2,11
348,85,WBRutledge,6,0,3,3,1,1946-039,1946,1,0,2,11
349,82,FMurphy,6,0,3,3,2,1946-039,1946,1,0,1,11
350,87,FMVinson,6,0,3,3,2,1946-039,1946,1,0,1,11
351,86,HHBurton,9,2,0,2,2,1946-040,1946,1,0,1,8
352,84,RHJackson,9,2,0,2,2,1946-040,1946,1,0,1,8
353,81,WODouglas,9,2,0,2,2,1946-040,1946,1,0,1,8
354,80,FFrankfurter,9,2,0,2,2,1946-040,1946,1,0,1,8
355,79,SFReed,9,2,0,2,2,1946-040,1946,1,0,1,8
356,78,HLBlack,9,2,0,2,2,1946-040,1946,1,0,1,8
357,85,WBRutledge,9,2,0,2,2,1946-040,1946,1,0,1,8
358,82,FMurphy,9,2,0,2,2,1946-040,1946,1,0,1,8
359,87,FMVinson,9,2,0,2,2,1946-040,1946,1,0,1,8
360,87,FMVinson,9,2,0,2,2,1946-041,1946,1,0,1,8
361,78,HLBlack,9,2,0,2,2,1946-041,1946,1,0,1,8
362,79,SFReed,9,2,0,2,2,1946-041,1946,1,0,1,8
363,80,FFrankfurter,9,2,0,2,2,1946-041,1946,1,0,1,8
364,81,WODouglas,9,2,0,2,2,1946-041,1946,1,0,1,8
365,82,FMurphy,9,2,0,2,2,1946-041,1946,1,0,1,8
366,84,RHJackson,9,2,0,2,2,1946-041,1946,1,0,1,8
367,85,WBRutledge,9,2,0,2,2,1946-041,1946,1,0,1,8
368,86,HHBurton,9,2,0,2,2,1946-041,1946,1,0,1,8
369,86,HHBurton,9,2,0,2,2,1946-042,1946,1,0,1,8
370,84,RHJackson,9,2,0,2,2,1946-042,1946,1,0,1,8
371,81,WODouglas,9,2,0,2,2,1946-042,1946,1,0,1,8
372,80,FFrankfurter,9,2,0,2,2,1946-042,1946,1,0,1,8
373,79,SFReed,9,2,0,2,2,1946-042,1946,1,0,1,8
374,78,HLBlack,9,2,0,2,2,1946-042,1946,1,0,1,8
375,85,WBRutledge,9,2,0,2,2,1946-042,1946,1,0,1,8
376,82,FMurphy,9,2,0,2,2,1946-042,1946,1,0,1,8
377,87,FMVinson,9,2,0,2,2,1946-042,1946,1,0,1,8
378,86,HHBurton,7,2,2,2,2,1946-043,1946,0,0,1,4
